Comment,Sentiment
Nice Video < !,Positive
We gave fame to the right person,Positive
Beyond amazing actually,Positive
Two goats speed and chandler's redemption,Positive
Enjoy every moment in life,Positive
The great youTuber in the universe,Positive
Honestly love them both definitely should be brought back for future challenges!,Positive
NEXT CHALLENGE - tree planting,Neutral
M subs congrats to your future,Positive
Ian’s hair grew so much since he shaved it,Neutral
Bro, the fishes are happy to have so much money,Neutral
I am so happy to see this it maid me smile,Positive
I am a big fan of the hazer.,Positive
This ending was so sweet,Positive
Crazy how an average man almost beat the fastest woman in the world,Positive
That jet is amazing!,Positive
THANK YOU FOR HELPING ALL OF THOSE PEOPLE,Positive
Here are those who cried for coach, you are the best,Positive
He was trapped in a jet, but still travelled to more places than most of us,Neutral
Bro is perfect example of hard work,Positive
Next challenge should be days in space,Neutral
Nolan's a legend,Positive
Bro didn't take shower for days. This challenge is insane,Neutral
I couldn't survive there,Positive
Glad to be part of this, hope we reach the goal and surpass it!,Positive
Too much,Positive
Seeing Nolan being happy and not bullied in a video is honestly so heartwarming to see,Positive
I volunteer for the quit smoking challenge !! Been trying to quit for years,Neutral
THIS IS EXCELLENT,Positive
The videos are getting more more insane, but we love it,Positive
From preparing to history exams to now making History in humanity Insane achievement thala....,Positive
I think you got a little more than million,Positive
Choosing a bed instead of Lamborghini is worth it,Positive
COLIN FURZE NO WAY,Positive
The great youTuber in the universe,Positive
I think future you has a little more than a million subs,Positive
Daym years . That little boy is now biggest youtuber in the world,Positive
Thanks for million subscriber,Positive
"""days in alone with Al""️,Neutral"
"This was the realest episode I ever saw lol, ""NO! Whatever he offers you yo say no! I been trough enough!"" hahaha,Positive"
Your so close to .m subs CONGRATS,Positive
Just a great man changing life of people in need!,Positive
Nice to see Chandler,Positive
Fantastic,Positive
Nolan:- great outfit ehhheehehehhehehe She:- aayyoo,Neutral
I love your video,Positive
million views in hours is crazy,Positive
Now this is who i came to see,Positive
Be THERE or be SQUAREE!!..,Neutral
I think the next challenge should be days in a haunted house for k Dollars,Neutral
Coach Wall made him and got him to get there and now him we'll be missed,Positive
Bros metal strength is on another level...,Positive
MICHAEL DON'T LEAVE ME HERE AHH,Neutral
"reject a Lamborghini it doesn't matter I have a bed"""" without a doubt the best thing hahaha"",Positive"
covering the plushies eyes was so cute,Positive
Wish y’all would do one of this every year this would be life changing I wish I could do this this man could even come in as the trainer every year,Neutral
"I can't believe y'all sandbagged Nolan's ""full circle"" joke. That was great.,Positive"
million views in hours is wild,Positive
years ahead !!,Positive
Man this is truly incredible, it brings me to tears and brings me hope in humanity again,Positive
he is awesome,Positive
GOATTTT Thanks for always being an Inspiration<,Positive
alright buddy,Neutral
days for THIS?! WORTH IT. LEGENDARY ending!,Positive
That was amazing,Positive
bro needs to hesitate,Neutral
welcome to the million club XD,Positive
Hardwork and consistency can truly take you somewhere else Congrats on your journey,Positive
Right,Neutral
Over million views in hour is crazy.,Positive
Congrats on K subs bro,Positive
Proud to be involved,Positive
omg Ryan trahan was there, it’s an airbnb,Neutral
I love these videos,Positive
The Goat,Positive
Seeing Nolan happy with her love is actually happy heart warming to see, This video is so amazing,Positive
I love how the YouTubers got together to help those in need. THERE IS STILL HOPE IN HUMANITY.,Positive
The best motivation video to ever watch. Lesson: persistence is key!,Positive
grass vs gamers now,Neutral
This was honestly really wholesome!,Positive
So happy to be apart of this and help out,Positive
Sometimes success isn’t about talent, it’s about endurance. This video shows it perfectly.,Positive
I'm so glad Ian and Lenny were so selfless,Positive
Congratulations,Positive
"days"" alone with Al."",Neutral"
Happy th anniversary man, you are a true legend!!,Positive
Mrbeast is slowly turning into mrjigsaw,Negative
Majd was the perfect person for this challenge. Full of nice energy, motivated, emotional. What a beautiful soul. Someone you’d wish the very best for.,Positive
The most successful YouTuber,Positive
It's literally unexpected think that Coach to be gone. It's made me a lot of cry.,Positive
Alooo(potato) farming challenge you should do,Neutral
Under hour gang,Neutral
Guys here who want Space video,Neutral
That one part about Coach Wall was very emotional. I started to cry about it,Positive
Coach wall is the nicest person i've seen ever!,Positive
Mrbeast can do anything to people as long as money is involved,Negative
I hope you reached your goal!,Positive
Nolan being an actual heart warming part of the video was amazing.,Positive
Just a great man changing life of people in need!,Positive
I'm so glad Ian and Lenny were so selfless,Positive
I Kinda wanna get a longer version… I mean days put in mins is Crazy Edit: Wee Need the uncut version,Neutral
covering the plushies eyes was so cute,Positive
it is amazing....,Positive
I will try to donate as much as I can,Positive
I loved them all,Positive
Yeah, congrats on mil!,Positive
He deserved it. Very strong man.,Positive
genuinely can't believe how dystopian this is,Negative
Bro is calling us poor in languages,Negative
So nice,Positive
The military Is so nice enough to support small content creators.,Positive
this is unreal,Positive
Hey mrbeast you have a problem on your Türkish translation you said you will not be eliminated but you said in turkish o odaya girersen elenmiş olacaksın so it means if you join that room you will be eliminated but no problem on turkish subtitles,Neutral
Congrats on your success bruvv,Positive
Congratulations.This is really inspirational!,Positive
Nolan’s laugh with Madison got me on the floor dying,Positive
he did it for himself and the coach , true compassion and friendship,Positive
Love you bro,Positive
Congratulations!, years are going by so fast.,Positive
She is so cute,Positive
Next challenge days,Neutral
It's so refreshing to see him being genuine,Positive
"I Better have M subs"" and got M Insane"",Positive"
Bache mann ke sache,Neutral
Interesting man,Positive
Congrats on M,Positive
she was willing to cut the chain to feet and lose $, to open a mystery door, but wouldn't shorten the chain to ft for bros mental health lmao,Negative
Happy year anniversary,Positive
He's actually goated!,Positive
The way he refuses to get another trainer is very heart warming.,Positive
POLAND MENTIONED RAAAHHHHHHHH,Neutral
These videos just gets crazier and crazier,Positive
One of the most grateful and kind YouTuber I’ve known,Positive
“Turned down a Lamborghini, eh whatever I got a bed”,Neutral
